Contas a Pagar;;;;;;;;;
Catagoria;Descrição;Vencimento;Pagamento;Valor;Valor Pago;Status;Parcela;Fornecedor;Unidade
01.11-Delivery;Saída do caixa 1808. ANTONIO;24/05/2022;24/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1808. FREE;24/05/2022;24/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1808. V.T;24/05/2022;24/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1808. 1 RODRIGO 1 2R;24/05/2022;24/05/2022;R$ 16,00;R$ 16,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;Saída do caixa 1808. GUARDANAPO;24/05/2022;24/05/2022;R$ 132,60;R$ 132,60;Pago;1/1;01.13.03-RENATO EMBALAGENS;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1808. REAL BOLOS;24/05/2022;24/05/2022;R$ 163,00;R$ 163,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1808. HEBERT 2;24/05/2022;24/05/2022;R$ 15,00;R$ 15,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1808. FREE;24/05/2022;24/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;24/05/2022;26/05/2022;R$ 33,00;R$ 33,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.02-Energia Elétrica;energisa;23/06/2022;;R$ 1.462,81;;Em aberto;1/1;01.02.01-ENERGISA - SERVIÇOS PUBLICOS;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;23/05/2022;23/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. ANTONIO;23/05/2022;23/05/2022;R$ 230,00;R$ 230,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1807. FREE;23/05/2022;23/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1807. V.T;23/05/2022;23/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. MANOEL;23/05/2022;23/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. LUCAS;23/05/2022;23/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1807. PAPELARIA;23/05/2022;23/05/2022;R$ 22,00;R$ 22,00;Pago;1/1;01.12.01-Papelaria São Benedito;Inverno D´Italia Bragança Paulista
01.09-Serviço de Limpeza;Saída do caixa 1807. PANO;23/05/2022;23/05/2022;R$ 8,00;R$ 8,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;23/05/2022;23/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1806. EDUARDO MOTOQUEIRO;22/05/2022;22/05/2022;R$ 329,00;R$ 329,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1806. EMILY- ADRIANE- JULIA;22/05/2022;22/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1806. JULIA- EMILY- LETICIA;22/05/2022;22/05/2022;R$ 56,00;R$ 56,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1806. JULIA- ADRIANE- LETICIA- EMILY;22/05/2022;22/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;22/05/2022;23/05/2022;R$ 224,64;R$ 224,64;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
